PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,SOORT DIPLOMA,2011 MAN,2011 VROUW,2012 MAN,2012 VROUW,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),66551,M Geneeskunde,voltijd onderwijs,master,wo master,65,183,99,212,91,212,91,218,95,196
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),66560,M Tandheelkunde,voltijd onderwijs,master,wo master,22,34,7,10,1,1,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),66588,M Tandheelkunde,voltijd onderwijs,master,wo master,0,0,10,22,22,40,27,43,20,43
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gezondheidszorg,n.v.t. (gezondheidszorg),66990,M Biomedical Sciences,voltijd onderwijs,master,wo master,16,44,30,49,29,54,18,40,28,56
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),50013,B Natuurwetenschappen,voltijd onderwijs,bachelor,wo bachelor,16,8,0,0,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56842,B Informatiekunde,voltijd onderwijs,bachelor,wo bachelor,11,0,7,1,2,1,9,0,3,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56857,B Scheikunde,voltijd onderwijs,bachelor,wo bachelor,29,11,25,13,23,6,21,13,22,11
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56860,B Biologie,voltijd onderwijs,bachelor,wo bachelor,53,74,37,74,58,58,59,75,75,81
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56948,B Science,voltijd onderwijs,bachelor,wo bachelor,0,0,4,1,9,4,12,10,10,5
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56978,B Informatica,voltijd onderwijs,bachelor,wo bachelor,22,1,18,2,18,1,13,0,25,3
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56980,B Wiskunde,voltijd onderwijs,bachelor,wo bachelor,22,10,18,8,16,9,27,12,9,16
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56981,B Kunstmatige Intelligentie,voltijd onderwijs,bachelor,wo bachelor,14,8,15,9,23,5,15,3,23,6
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),56984,B Natuur- en Sterrenkunde,voltijd onderwijs,bachelor,wo bachelor,29,7,18,4,22,7,36,10,26,4
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),59304,B Moleculaire Levenswetenschappen,voltijd onderwijs,bachelor,wo bachelor,16,27,16,23,13,24,15,27,11,23
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),60255,M Information Sciences,voltijd onderwijs,master,wo master,0,0,16,0,13,2,12,3,13,2
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),60303,M Molecular Life Sciences,voltijd onderwijs,master,wo master,0,0,0,0,0,0,13,11,11,18
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),60322,M Molecular Mechanisms of Disease (research),voltijd onderwijs,master,wo master,5,6,8,9,6,11,3,16,3,19
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),60364,M Computing Science,voltijd onderwijs,master,wo master,0,0,0,0,1,0,26,1,34,4
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),60506,M Cognitive Neuroscience (research),voltijd onderwijs,master,wo master,14,28,16,17,12,23,11,36,14,28
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),60610,M Medical Biology,voltijd onderwijs,master,wo master,33,28,16,26,13,19,9,27,14,34
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),60810,M Environmental Sciences,voltijd onderwijs,master,wo master,7,9,1,2,3,3,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66842,M Informatiekunde,voltijd onderwijs,master,wo master,18,1,0,0,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66857,M Chemistry,voltijd onderwijs,master,wo master,25,8,25,15,31,7,19,8,20,6
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66860,M Biology,voltijd onderwijs,master,wo master,18,15,17,17,16,20,24,22,25,28
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66978,M Informatica,voltijd onderwijs,master,wo master,8,0,9,0,18,4,0,0,0,0
