province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,year,male,female
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,voltijd onderwijs,master,2014,10,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,voltijd onderwijs,master,2015,12,3
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68518,M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie,voltijd onderwijs,master,2016,7,6
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68519,M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur,deeltijd onderwijs,master,2012,2,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68519,M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur,deeltijd onderwijs,master,2013,2,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68519,M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur,deeltijd onderwijs,master,2014,0,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68519,M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur,deeltijd onderwijs,master,2015,0,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68519,M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur,deeltijd onderwijs,master,2016,0,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68519,M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur,voltijd onderwijs,master,2012,2,2
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68519,M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur,voltijd onderwijs,master,2013,4,5
